id,Afghanistan,Brazil,Finland,Germany,India,Japan,Italy,Kenya,Malaysia,Nepal,Ukraine
386,55402,9669883,49263,2299996,10871294,411017,2668266,102221,251604,272349,1297537
387,55420,9723487,49646,2310233,10880603,412707,2683403,102353,254988,272430,1302811
388,55445,9772429,50007,2320093,10892746,414007,2697296,102613,258306,272557,1307806
389,55473,9817285,50424,2328447,10904940,415367,2710819,102792,261805,272614,1313209
390,55492,9848008,50703,2334561,10916589,416729,2721879,102867,264269,272718,1316520
391,55514,9873816,50984,2338987,10925710,417694,2729223,103014,266445,272840,1319060
392,55518,9939100,51601,2342843,10937320,419002,2739591,103188,269165,272945,1322406
393,55540,9986325,52114,2350399,10950201,420450,2751657,103332,272163,273070,1326891
394,55557,10039804,52667,2360606,10963394,421986,2765412,103615,274875,273166,1333332
395,55575,10091961,53281,2369719,10977387,423287,2780882,103841,277811,273263,1340054
396,55580,10144332,53853,2378883,10991651,424520,2795796,103993,280272,273351,1346527
